Times,      Language,   Speaker,      Transcript
0.000-0.000,  en-US,      1,          "Hi. Hello. Hi, my name's Mandy. I'm the resuscitation team leader today. I'm the registrar on call. I don't think we've all met before. Can you just introduce yourselves and your provider status, please?"
0.000-0.000,  en-US,      2,          " Hi Mandy. My name's Keith. I'm the resus officer today and I'm an ALS provider."
0.000-0.000,  en-US,      1,          " Keith, brilliant. Thanks."
0.000-0.000,  en-US,      3,          " I'm Yanni and I'm the F2 today and I'm an ALS provider."
0.000-0.000,  en-US,      1,          " Yanni, brilliant. Thanks."
0.000-0.000,  en-US,      4,          " And I'm the anesthetic SPR on call. My name's Isabel."
0.000-0.000,  en-US,      1,          " Fantastic. Are you an ALS provider, Isabel?"
0.000-0.000,  en-US,      4,          " An instructor."
0.000-0.000,  en-US,      1,          " Brilliant. Lovely. Okay. So, if we just allocate roles then, I think, let's go for airway,"
0.000-0.000,  en-US,      4,          " Great."
0.000-0.000,  en-US,      1,          " yeah. And let's go for Keith. And are you happy to scribe"
0.000-0.000,  en-US,      2,          " Absolutely."
0.000-0.000,  en-US,      1,          " and manage the defibrillation should needed?"
0.000-0.000,  en-US,      2,          " Yep."
0.000-0.000,  en-US,      1,          " And that would be great. And then, Yanni, can you do cannulation,"
0.000-0.000,  en-US,      3,          " Yeah, sure."
0.000-0.000,  en-US,      1,          " bloods, fluids,"
0.000-0.000,  en-US,      3,          " Yep."
0.000-0.000,  en-US,      1,          " and let us also go for swapping in and out with um chest compressions as"
0.000-0.000,  en-US,      3,          " Okay."
0.000-0.000,  en-US,      1,          " well. Okay. Brilliant. Thank you. Well, I'll see you later, guys."
0.000-0.000,  en-US,      3,          " Okay."
0.000-0.000,  en-US,      1,          " Thank you."
0.000-0.000,  en-US,      2,          " Bernard? Bernard, are you all right? Can I have some help, please? Can you put out a double 2 double 2 call, ask for the adult resuscitation team and bring back the resuscitation trolley?"
0.000-0.000,  en-US,      3,          " Okay, the resus trolley's behind you, Bill."
0.000-0.000,  en-US,      2,          " Can you take over CPR for me? I'm going to count you in."
0.000-0.000,  en-US,      3,          " Okay."
0.000-0.000,  en-US,      2,          " Are you ready?"
0.000-0.000,  en-US,      3,          " Yep."
0.000-0.000,  en-US,      2,          " Okay. 5 4 3 2 1. We're carrying with 32 on the bag valve mask with the oxygen on. I'm going to attach the defibrillator pads. Carry on with that CPR. In a minute, I'm just going to ask you to pause so I can have a look at the rhythm. Okay, can you just pause CPR? That's a shockable rhythm. Carry on CPR again. I'm going to charge the defibrillator. Can we take the oxygen away? Clear. Clear. Carry on with that CPR. Clear. Okay. Stand clear. Shocking now. Carry on CPR. I'm just going to move the bed. Keep going with those chest compressions. Okay, the bed's sorted."
0.000-0.000,  en-US,      1,          " Bill, my name's Mandy. I'm the resuscitation team leader. What's happening?"
0.000-0.000,  en-US,      2,          " Hello. This is Bernard. And he was admitted here with chest pain and he was found collapsed. He was in cardiac arrest. We've given him one"
0.000-0.000,  en-US,      1,          " Okay."
0.000-0.000,  en-US,      2,          " shock with the de- with the defibrillator."
0.000-0.000,  en-US,      1,          " So, we're about a minute in."
0.000-0.000,  en-US,      2,          " We're about a minute in, yep."
0.000-0.000,  en-US,      1,          " Okay. Thank you. Right, so we've got good quality chest compressions going on, 30 to 2."
0.000-0.000,  en-US,      4,          " Hi, Mandy."
0.000-0.000,  en-US,      1,          " Isabel has just joined us. Can you please take over the airway management, please? Thank you. And we've got Keith. Excellent. Defibrillation. Keith, we're about a minute in. If you can just check the timings for me, please. He's had one shock already. Bill, can you get me the patient's notes, please?"
0.000-0.000,  en-US,      2,          " 20 seconds until the next 2 minutes."
0.000-0.000,  en-US,      1,          " 20 seconds till we're coming in. So, at that point, Amita, I'd like you and Yanni to swap over with in the rhythm check. Okay? So, we're going to swap over at that point. And Keith, I'm going to hand over to you to deliver the shock."
0.000-0.000,  en-US,      2,          " Absolutely. We're at 2 minutes now."
0.000-0.000,  en-US,      1,          " Stop CPR, please. Looking at the monitor, that's a shockable rhythm. Straight back on the chest, please. Over to you, Keith."
0.000-0.000,  en-US,      2,          " Lovely. I'm going to charge the defibrillator and I'm not going to shock yet. Remove the oxygen and everybody else stand back. Charging. Head is clear. Bedside is clear. Amita, in a second, I'm going to ask you to stand clear so I can deliver the shock."
0.000-0.000,  en-US,      1,          " Yep."
0.000-0.000,  en-US,      2,          " And then, I'm going to ask you to immediately start restart CPR. Are you happy?"
0.000-0.000,  en-US,      1,          " Yep."
0.000-0.000,  en-US,      2,          " Stand clear. Shocking now. Restart CPR."
0.000-0.000,  en-US,      1,          " Excellent. Thank you. Okay, so we're in a shockable rhythm and that was the second shock delivered. Okay, so have we got those notes coming? Yanni, please, could you put up a 500 mil saline for that?"
0.000-0.000,  en-US,      3,          " Okay."
0.000-0.000,  en-US,      1,          " Can you also take me some bloods through venepuncture? I'd like an FBC, a U and E, a venous blood gas and a glucose, please."
0.000-0.000,  en-US,      3,          " Yep."
0.000-0.000,  en-US,      1,          " Thank you, Bill. That's lovely. Okay, so this gentleman came in. You said it was uh chest pain that he'd got. And we Can we get a definitive airway"
0.000-0.000,  en-US,      4,          " Yep."
0.000-0.000,  en-US,      1,          " in with this chap now, please? Yep. Sure. Let me know when that's done, please, Isabel. So, with the history, I'm really thinking thromboembolic is most likely to be our most probable cause. But, let's just investigate the others while we're at that. Temperature-wise, Yanni, what does he feel like?"
0.000-0.000,  en-US,      3,          " He feels warm to touch."
0.000-0.000,  en-US,      1,          " Feels warm to touch. Okay, so thinking uh Keith, about ruling out the H's and T's. Unlikely to be um hypothermia. And hypoxia, we've got the tube going in. We're going to connect that to 15 L of oxygen. Uh no avert signs beforehand. His sats earlier looked okay on the chart. Fluids are up. Thank you. That's That's lovely."
0.000-0.000,  en-US,      4,          " Mandy, the tube is in and I've checked the position on auscultation. End tidal CO2 is uh 2.3."
0.000-0.000,  en-US,      1,          " 2.3. So, we've got a good ETCO2 for this. So, I would um like asynchronous chest compressions, please. So, continuous chest compressions. Can we support his ventilation, please, to 10 breaths a minute? So, we've got the bloods off. We're moving through the H's and T's, Keith."
0.000-0.000,  en-US,      2,          " 20 seconds until the next 2 minutes."
0.000-0.000,  en-US,      1,          " 20 seconds to the next 2 minutes. Okay. Drugs. We need to have some drugs ready, please, in case. I'd like a milligram of adrenaline, Yanni, and 300 milligrams of amiodarone preparing. When we get to the next point, Amita, I'd like you to swap with Bill when we do the rhythm check uh to manage the CPR. And Keith, I'm going to hand over to you for defibrillation."
0.000-0.000,  en-US,      2,          " We're at 2 minutes now."
0.000-0.000,  en-US,      1,          " Okay, stop CPR, please. Looking at the monitor, we've got something compatible with life there. Is there a pulse?"
0.000-0.000,  en-US,      4,          " I can't feel a pulse."
0.000-0.000,  en-US,      1,          " Straight back on the chest, please. Okay, so we've moved to the sh- non-shockable side of the algorithm. We gave the adrenaline in the last um cycle. So, we're not going to give it this time. But, I'd like that preparing ready for the next cycle, if it's all possible."
0.000-0.000,  en-US,      4,          " His end tidal CO2 has just come up to 5.2."
0.000-0.000,  en-US,      1,          " Is there a pulse?"
0.000-0.000,  en-US,      4,          " I can feel a weak pulse and I think he's trying to make some resp-"
0.000-0.000,  en-US,      1,          " respiratory effort. Okay, let's have off the chest, please. Support ventilation, please, up to 10 breaths a minute. Bill, can you do me a full A to E assessment, please?"
0.000-0.000,  en-US,      2,          " Yep."
0.000-0.000,  en-US,      1,          " Also, a chest X-ray and a 12 lead ECG."
0.000-0.000,  en-US,      2,          " Okay, I'll get that."
0.000-0.000,  en-US,      1,          " Yanni, what I'd really like is for you to contact the family."
0.000-0.000,  en-US,      3,          " Okay."
0.000-0.000,  en-US,      1,          " We have to let the relatives know. Ask them to come in. Thank you. That's great. Okay. Um I'm going to need to do some writing. Can I have the paperwork from from yourself, please, Keith? I'm going to speak to the intensive care team and the cardiology team, as well. Great. We've got some spontaneous circulation. We're doing full reassessment. Okay, great work, team. Thank you very much."
